ক্রম	নির্বাচনী এলাকার নম্বর ও নাম	প্রতিদ্ন্্বী প্রার্থী	রাজনৈতিক দল	প্রতীক	মন্তব্য
১	১ পঞ্চগড়-১	মোঃ মসিউর রহমান বাবুল	- ন্যাশনাল পিপলসূ পাটি	আম	
৯	১ পঞ্চগড়-১	মোঃ আনোয়ার সাদাত	স্বতন্ত্র	ট্রাক	
ত	১ পঞ্চগড়-১	মোঃ সিরাজুল ইসলাম	বাংলাদেশ ন্যাশনালিষ্ট ফ্রন্ট-বিএনএফ	টেলিভিশন	
৪	১ পঞ্চগড়-১	মোঃ নাঈমুজ্জামান ভূইয়ী	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৫	১ পঞ্চগড়-১	মোঃ আব্দুল ওয়াদুদ বোদশা)	- বাংলাদেশ সুপ্রিম পাটি	একতারা	
৬	১ পঞ্চগড়-১	মোঃ আব্দুল মজিদ	বাংলাদেশ সাংস্কৃতিক মুক্তিজোট	ছড়ি	
৭	২ পঞ্চগড়-২	আহমাদ রেজা ফারুকী	- বাংলাদেশ সুপ্রিম পাটি	একতারা	
৮	২ পঞ্চগড়-২	মোঃ নুরুল ইসলাম সুজন	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৯	২ পঞ্চগড়-২	মোঃ আব্দুল আজিজ	ভূণমূল বিএনপি	সোনালী আশি	
১০	২ পঞ্চগড়-২	মোঃ লুৎফর রহমান রিপন	- জাতীয় পাটি	লাঙ্গল	
৯৯	৩ ঠাকুরগীও-১	রমেশ চন্দ্র সেন	বাংলাদেশ আওয়ামী লীগ	নৌকা	
১২	৩ ঠাকুরগীও-১	মোঃ রেজাউর রাজী	- জাতীয় পাটি	লাঙ্গল	
১৩	৩ ঠাকুরগীও-১	মোঃ রফিকুল ইসলাম	ইসলামী এঁক্যজোট	মিনার	
৯৪	৩ ঠাকুরগীও-১	মোঃ রাজিউল ইসলাম	- ন্যাশনাল পিপলসূ পাটি	আম	
৯৫	৪ ঠাকুরগীও-২	মোছাঃ নুরুন নাহার বেগম	- জাতীয় পাটি	লাঙ্গল	
৯৬	৪ ঠাকুরগীও-২	মোছাঃ রিম্পা আক্তার	বাংলাদেশ কংগ্রেস	ডাৰ	
১৭	৪ ঠাকুরগীও-২	মোঃ মাজহারুল ইসলাম	বাংলাদেশ আওয়ামী লীগ	নৌকা	
১৮	৪ ঠাকুরগীও-২	মোঃ আলী আসলাম	স্বতন্ত্র	ট্রাক	
৯৯	৪ ঠাকুরগীও-২	মোঃ আব্দুল কাদের	স্বতন্ত্র	সোফা	
২০	৫ ঠাকুরগীও-৩	গোপাল চন্দ্র রায়	্স পার্টি ৩৭৭৩৭৭ বাংলাদেশের ওয়ার্কা	হাতুড়ী	
২৯	৫ ঠাকুরগীও-৩	হাফিজ উদ্দিন আহম্মেদ	- জাতীয় পাটি	লাঙ্গল	
২২	৫ ঠাকুরগীও-৩	এস,এম খলিলুর রহমান সরকার	বিকল্প ধারা বাংলাদেশ	কুলা	
২৩	৫ ঠাকুরগীও-৩	মোছাঃ আশা মনি	স্বতন্ত্র	ঈগল	
৭ ২৪	৬ দিনাজপুর-১	মনোরঞ্জন শীল গোপাল	বাংলাদেশ আওয়ামী লীগ	নৌকা	
২৫	৬ দিনাজপুর-১	আব্দুল হক	্স পার্টি ৩৭৭৩৭৭ বাংলাদেশের ওয়ার্কা	হাতুড়ী	
২৬	৬ দিনাজপুর-১	মোঃ শাহিনুর ইসলাম	- জাতীয় পাটি	লাঙ্গল	
২৭	৬ দিনাজপুর-১	মোঃ জাকারিয়া	স্বতন্ত্র	ট্রাক	
২৮	৬ দিনাজপুর-১	মোঃ জহ্রুল ইসলাম	- ন্যাশনাল পিপলসূ পাটি	আম	
২৯	৭ দিনাজপুর-২	আনোয়ার চৌধুরী জীবন	স্বতন্ত্র	ঈগল	
৩০	৭ দিনাজপুর-২	খালিদ মাহমুদ চৌধুরী	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৩১	৭ দিনাজপুর-২	মোঃ মাহবুব আলম	- জাতীয় পাটি	লাঙ্গল	
৭ ৩২	৮ দিনাজপুর-৩	ইকবালুর রহিম	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৩৩	৮ দিনাজপুর-৩	আহমেদ শফি রুবেল	- জাতীয় পাটি	লাঙ্গল	
৩৪	৮ দিনাজপুর-৩	মোঃ ফরহাদ আলম	ইসলামী এঁক্যজোট	মিনার	
৩৫	৮ দিনাজপুর-৩	আব্দুস সালাম	বাংলাদেশ মুসলিম লীগ	হাত (পাঞ্জা)	
৩৬	৮ দিনাজপুর-৩	পারুল সরকার লিনা	- ন্যাশনাল পিপলসূ পাটি	আম	
৩৭	৮ দিনাজপুর-৩	বিশ্বজিৎ কুমার ঘোষ	স্বতন্ত্র	ট্রাক	
৩৮	৯ দিনাজপুর-৪	আবুল হাসান মাহমুদ আলী	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৩৯	৯ দিনাজপুর-৪	মোঃ তারিকুল ইসলাম তারিক	স্বতন্ত্র	ট্রাক	
৪০	৯ দিনাজপুর-৪	মোঃ মোনাজাত চৌধুরী	- জাতীয় পাটি	লাঙ্গল	
৪৯	৯ দিনাজপুর-৪	মোসাঃ আজিজা সুলতানা	- ন্যাশনাল পিপলসূ পাটি	আম	
৪৯	১০ দিনাজপুর-৫	মোস্তাফিজুর রহমান	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৪৩	১০ দিনাজপুর-৫	মোঃ শওকত আলী	- ন্যাশনাল পিপলসূ পাটি	আম	
৪৪	১০ দিনাজপুর-৫	মোঃ নুরুল ইসলাম	- জাতীয় পাটি	লাঙ্গল	
৪৫	১০ দিনাজপুর-৫	মোঃ হযরত আলী বেলাল	স্বতন্ত্র	ট্রাক	
৪৬	১১ দিনাজপুর-৬	আজিজুল হক চৌধুরী	স্বতন্ত্র	ট্রাক	
৪৭	১১ দিনাজপুর-৬	মোঃ শাহ আলম বিশ্বাস	জাতীয় সমাজতান্ত্রিক দল - জাসদ	মশাল	
৪৮	১১ দিনাজপুর-৬	মোঃ শিবলী সাদিক	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৪৯	১২ নীলফামারী-১	মোঃ আফতাব উদ্দিন সরকার	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৫০	১২ নীলফামারী-১	মোঃ সিরাজুল ইসলাম	বাংলাদেশ ন্যাশনালিষ্ট ফ্রন্ট-বিএনএফ	টেলিভিশন	
৫১	১২ নীলফামারী-১	মোঃ তছলিম উদ্দিন	টজাতীয় পার্টি	লাঙ্গল	
৫২	১২ নীলফামারী-১	জাফর ইকবাল সিদ্দিকী	বাংলাদেশ জাতীয়তাবাদী আন্দোলন	নোঙ্গার	
৫৩	১২ নীলফামারী-১	মোঃ ইমরান কবির চৌধুরী	স্বতন্ত্র	ট্রাক	
৫৪	১২ নীলফামারী-১	মোঃ মখদুম আজম মাশরাফী	- জাতীয় পাটি-জেপি	বাইসাইকেল	
৫৫	১২ নীলফামারী-১	এ্যাডঃ এন কে আলম চৌধুরী	ভূণমূল বিএনপি	সোনালী আশি	
৫৬	১৩ নীলফামারী-২	আসাদুজ্জামান নুর	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৫৭	১৩ নীলফামারী-২	মোঃ জয়নাল আবেদীন	স্বতন্ত্র	ট্রাক	
৫৮	১৩ নীলফামারী-২	মোঃ শাহজাহান আলী চৌধুরী	- জাতীয় পাটি	লাঙ্গল	
৫৯	১৩ নীলফামারী-২	মোঃ মোরছালিন ইসলাম	বাংলাদেশ কংগ্রেস	ডাৰ	
৬০	১৪ নীলফামারী-৩	মো: খলিলুর রহমান	ভূণমূল বিএনপি	সোনালী আশি	
৬৯	১৪ নীলফামারী-৩	কাজী ফারুক কাদের	স্বতন্ত্র	কেটলি	
৭ ৬২	১৪ নীলফামারী-৩	মো: বাদশা আলমগীর	- বাংলাদেশ কল্যাণ পাটি	হাতঘড়ি	
৬ত	১৪ নীলফামারী-৩	রানা মোহাম্মদ সোহেল	- জাতীয় পাটি	লাঙ্গল	
৬৪	১৪ নীলফামারী-৩	মো: সাদ্দাম হোসেন (পাভেল)	স্বতন্ত্র	কীচি	
